x_m,y_m,velocity_mps,heading_rad
86.2540,53.2325,4.8749,-0.1046
87.2571,53.0984,4.0041,-0.1826
88.2057,52.8722,3.4082,-0.3113
89.0636,52.5170,3.1559,-0.5040
89.7944,51.9960,3.1662,-0.7590
90.3677,51.2801,3.4135,-1.0085
90.7992,50.4016,3.8743,-1.1828
91.1270,49.4225,4.6733,-1.2835
91.3893,48.4046,5.7620,-1.3286
91.6241,47.4102,6.8684,-1.3284
91.8641,46.4846,7.4583,-1.3018
92.1206,45.6090,7.5067,-1.2714
92.3999,44.7489,7.1051,-1.2451
92.7080,43.8699,6.1429,-1.2261
93.0502,42.9379,5.0447,-1.2328
93.3809,41.9550,4.0509,-1.3087
93.5757,40.9788,3.3159,-1.4913
93.5318,40.0622,2.8505,-1.7516
93.2548,39.2235,2.6023,-2.0139
92.7767,38.4711,2.6260,-2.2388
92.1340,37.8031,2.9675,-2.4134
91.3651,37.2125,3.7158,-2.5421
90.5083,36.6920,4.7053,-2.6352
89.6021,36.2347,5.6698,-2.7016
88.6840,35.8332,6.3800,-2.7501
87.7708,35.4787,6.9714,-2.7883
86.8612,35.1611,7.3872,-2.8184
85.9529,34.8699,7.5701,-2.8395
85.0438,34.5948,7.6800,-2.8515
84.1319,34.3264,7.7680,-2.8575
83.2168,34.0614,7.8416,-2.8617
82.2987,33.7995,7.9001,-2.8656
81.3778,33.5405,7.9363,-2.8691
80.4545,33.2841,7.9477,-2.8722
79.5288,33.0300,7.9430,-2.8750
78.6010,32.7779,7.9381,-2.8774
77.6715,32.5275,7.9427,-2.8795
76.7403,32.2787,7.9538,-2.8812
75.8078,32.0310,7.9651,-2.8826
74.8743,31.7842,7.9741,-2.8836
73.9398,31.5381,7.9799,-2.8843
73.0047,31.2923,7.9821,-2.8847
72.0692,31.0466,7.9813,-2.8847
71.1336,30.8007,7.9781,-2.8843
70.1980,30.5543,7.9737,-2.8837
69.2627,30.3071,7.9687,-2.8826
68.3280,30.0589,7.9643,-2.8813
67.3941,29.8094,7.9621,-2.8798
66.4610,29.5586,7.9628,-2.8783
65.5288,29.3066,7.9668,-2.8771
64.5973,29.0538,7.9728,-2.8761
63.6664,28.8003,7.9790,-2.8754
62.7362,28.5463,7.9843,-2.8749
61.8064,28.2922,7.9876,-2.8747
60.8772,28.0380,7.9879,-2.8747
59.9483,27.7842,7.9854,-2.8750
59.0197,27.5308,7.9804,-2.8756
58.0914,27.2782,7.9718,-2.8763
57.1632,27.0265,7.9615,-2.8774
56.2351,26.7760,7.9689,-2.8787
55.3071,26.5269,7.9839,-2.8802
54.3790,26.2794,7.9878,-2.8820
53.4508,26.0339,7.9138,-2.8840
52.5225,25.7904,8.0199,-2.8863
51.5938,25.5493,8.2766,-2.8889
50.6649,25.3107,8.1913,-2.8902
49.7345,25.0718,7.8220,-2.8859
48.7992,24.8231,7.1959,-2.8728
47.8555,24.5543,6.2500,-2.8510
46.8997,24.2551,5.2516,-2.8246
45.9305,23.9228,4.3467,-2.8427
44.9793,23.6633,3.6892,-3.0007
44.1023,23.6635,3.3895,2.9387
43.3314,24.0022,3.3634,2.5783
42.6574,24.5760,3.5430,2.3529
42.0658,25.2762,3.9243,2.2198
41.5342,26.0566,4.5284,2.1379
41.0377,26.8906,5.5111,2.0962
40.5515,27.7515,6.5112,2.0911
40.0507,28.6129,7.1009,2.1194
39.5131,29.4506,7.4980,2.1644
38.9385,30.2611,7.6480,2.2039
38.3379,31.0518,7.5570,2.2300
37.7226,31.8302,7.4917,2.2426
37.1040,32.6034,7.4652,2.2418
36.4930,33.3790,7.5273,2.2306
35.8958,34.1609,7.6374,2.2156
35.3123,34.9491,7.6634,2.2008
34.7420,35.7434,7.6291,2.1864
34.1845,36.5437,7.5804,2.1724
33.6395,37.3496,7.5497,2.1588
33.1063,38.1610,7.5641,2.1457
32.5846,38.9777,7.5953,2.1330
32.0740,39.7995,7.6146,2.1208
31.5740,40.6260,7.6296,2.1091
31.0841,41.4572,7.6447,2.0979
30.6039,42.2928,7.6600,2.0871
30.1330,43.1326,7.6755,2.0768
29.6710,43.9764,7.6902,2.0670
